Source,Target
Adrian Yanez,Gustavo Lopez
Trevin Giles,Roman Dolidze
Tai Tuivasa,Harry Hunsucker
Cheyanne Buys,Montserrat Conejo
Marion Reneau,Macy Chiasson
Leonardo Santos,Grant Dawson
Song Kenan,Max Griffin
Derek Brunson,Kevin Holland
Montel Jackson,Jesse Strader
Bruno Silva,JP Buys
Manel Kape,Matheus Nicolau
Misha Cirkunov,Ryan Spann
Leon Edwards,Belal Muhammad
Charles Jourdain,Marcelo Rojo
Eryk Anders,Darren Stewart
Angela Hill,Ashley Yoder
Jonathan Martinez,Davey Grant
Dan Ige,Gavin Tucker
Nasrat Haqparast,Rafa Garcia
Cortney Casey,JJ Aldrich
Matthew Semelsberger,Jason Witt
Rani Yahya,Ray Rodriguez
Gloria de Paula,Jinh Yu Frey
Dominick Cruz,Casey Kenney
Song Yadong,Kyler Phillips
Petr Yan,Aljamain Sterling
Jan Blachowicz,Israel Adesanya
Thiago Santos,Aleksandar Rakic
Joseph Benavidez,Askar Askarov
Amanda Nunes,Megan Anderson
Islam Makhachev,Drew Dober
Tim Elliott,Jordan Espinosa
Livinha Souza,Amanda Lemos
Rogerio Bontorin,Kai Kara-France
Uros Medic,Aalon Cruz
Kennedy Nzechukwu,Carlos Ulberg
Sean Brady,Jake Matthews
Mario Bautista,Trevin Jones
Jairzinho Rozenstruik,Ciryl Gane
Montana De La Rosa,Mayra Bueno Silva
Vince Cachero,Ronnie Lawrence
Alexander Hernandez,Thiago Moises
Pedro Munhoz,Jimmie Rivera
Alex Caceres,Kevin Croom
Alexis Davis,Sabina Mazo
Nikita Krylov,Magomed Ankalaev
Dustin Jacoby,Maxim Grishin
Aleksei Oleinik,Chris Daukaus
Charles Rosa,Darrick Minner
Phil Hawes,Nassourdine Imavov
Curtis Blaydes,Derrick Lewis
Eddie Wineland,John Castaneda
Andrei Arlovski,Tom Aspinall
Jared Gordon,Danny Chavez
Ketlen Vieira,Yana Kunitskaya
Aiemann Zahabi,Drako Rodriguez
Serghei Spivac,Jared Vanderaa
Nate Landwehr,Julian Erosa
Shana Dobson,Casey O'Neill
